Operator_Name,Facility_Name,Physical_Facility_Address,State,Truck,Chemical_Products,Petroleum_Products,Liquified_Gasses_Products,NGL,Biofuel,Vegetable_Oil,Waste,Liquid_Type_Detail,Capacity_Gallons,Lat,Lng
Sunoco,,"3351 NY-352, Big Flats, NY 14814",NY,Y,,Y,,,Y,,,Gasoline|Biodiesel|Kerosene|Ethanol|Heating Oil,126000,42.1280189,-76.9624836
Buckeye Pipeline Co,,"443 Eastern Point Rd, Groton, CT 06340",CT,Y,,,,,,,,,,41.3359896,-72.0767073
Buckeye Partners,,"301 Normanskill St, Albany, NY 12202",NY,Y,,,,,,,,,,42.6167526,-73.7634551
Jefferson Energy Companies,Jefferson Energy Terminal Site,"94 Old Hwy 90 W, Vidor, TX 77662",TX,Y,,,,,,,,,,31,-100
Vopak,,"3601 Dock St, San Pedro, CA 90731",CA,Y,Y,Y,,,Y,,,Specialty chemicals|petroleum products|Bio Fuels,14526000,37,-119
" Logistec USA, Inc.",Colonel's Island Terminal,"157 Penniman Cir, Brunswick, GA 31523",GA,Y,,,,,,,,,,31.782443,-82.350921
Placid Refining Company LLC,,"501 River Port Rd, Alexandria, LA 71303",LA,Y,,Y,,,,,,Gasoline|Ethanol|Diesel|E-85,,31.3374908,-92.4644831
Bulk Transportation CO,Quality Transload,"702 N 4th St, Buckeye, AZ 85326",AZ,Y,Y,Y,,,,,,,,33.376847,-112.5862452
Brookhaven Rail Terminal,,"205 Sills Rd, Yaphank, NY 11980",NY,Y,,,,,,,,,,43,-75
Bulkmatic de Mexico,,"Blvd. Lopez Mateos 1701, Ex-Ejido Zacatecas, 21090 Mexicali, B.C., Mexico",,Y,Y,Y,,,,,,,,32.6329177,-115.4630775
Norfolk Southern TBT (RSI Logistics),,"2820 Nevada Blvd, Charlotte, NC 28273",NC,Y,Y,Y,,,,,,,,35.1163959,-80.9395095
Bulkmatic Transport CO,,"11005 Blasius Road, Jacksonville, FL 32226",FL,Y,Y,Y,,,,,,,,30.4293907,-81.568544
Carload Connection,,"12045 W State St, Mason City, IA 50401",IA,Y,Y,Y,,,,,,,,43.1518026,-93.2065041
International-Matex Tank Terminals (IMTT) ,,"5450 River Rd. Avondale, LA 70094",LA,Y,Y,Y,,,,Y,,Specialty chemicals|petroleum products|Vegetable and Tropical Oils|Commodity chemicals,46200000,29.9196638,-90.1957154
Carload Connection,,"21778 Highview Ave #100, Lakeville, MN 55044",MN,Y,Y,Y,,,,,,,,44.6341267,-93.236419
Carry Transit,,"716 110th St, Arlington, TX 76011",TX,Y,,,,,,,,,,32.7518529,-97.0514123
"Port Consolidated, Inc.",,"3141 SE 14th Ave, Fort Lauderdale, FL 33316",FL,Y,,,,,,,,,,26.0958565,-80.1285165
Tidewater Transit,,"1161 Wilkes Rd, Fayetteville, NC 28306",NC,Y,Y,,,,,,,,,35.0197028,-78.8938847
"
Chevron Pipeline Co.",,"1400 SE 24th St, Fort Lauderdale, FL 33316",FL,Y,,,,,,,,,,26.0930241,-80.1279451
TransMontaigne Partners LLC,,"2401 Eisenhower Blvd, Fort Lauderdale, FL 33316",FL,Y,,,,,,,,Liquified Asphalt,,26.1016057,-80.1246664
Marathon Petroleum Corp.,,"901-909 SE 24th St, Fort Lauderdale, FL 33316",FL,Y,,,,,,,,,,26.0929097,-80.1333956
Transflo CSXT,,"6816 Csx Way, Charlotte, NC 28214",NC,Y,Y,Y,,,,,,,,35.2724797,-80.9223723
Van Wert Terminal LLC,,"9630 Hoaglin Center Rd, Van Wert, OH 45891",OH,Y,Y,Y,,,,,,,,40.875492,-84.5142314
Ventura Transfer Co,,"2418 E 223rd St, Carson, CA 90810",CA,Y,Y,Y,,,,,,,,33.824358,-118.2313965
